id,track_id,name,artists,genre,subgenre
70,05CwHjIk71RXVU40boRMnR,Call You Mine,['The Chainsmokers'],pop,dance pop
71,0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),['Sam Feldt'],pop,dance pop
72,5icOoE6VgqFKohjWWNp0Ac,Here With Me,"['Marshmello', 'CHVRCHES']",pop,dance pop
73,6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,"['5 Seconds of Summer', 'Seeb']",pop,dance pop
74,4PkIDTPGedm0enzdvilLNd,Sixteen,['Ellie Goulding'],pop,dance pop
75,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,['Katy Perry'],pop,dance pop
76,4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),"['Gryffin', 'SLANDER']",pop,dance pop
77,5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),"['NOTD', 'HRVY']",pop,dance pop
78,3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,"['Ed Sheeran', 'Cardi B', 'Sam Feldt']",pop,dance pop
79,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),['The Chainsmokers'],pop,dance pop
80,3OTSBoYKO7HzGVj8Bu2OH9,All the Time,['Zara Larsson'],pop,dance pop
81,4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),"['Jonas Blue', 'Theresa Rex']",pop,dance pop
82,1xK7enJZVdv37fnnxoZlPq,With You,"['Kaskade', 'Meghan Trainor']",pop,dance pop
83,1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),['Gryffin'],pop,dance pop
84,6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,"['Kygo', 'Chelsea Cutler']",pop,dance pop
85,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,['Zara Larsson'],pop,dance pop
86,18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),"['NOTD', 'Bea Miller']",pop,dance pop
87,3D37T7euWvVJ45evRmriIh,Better With You,"['3LAU', 'Justin Caruso', 'Iselin']",pop,dance pop
88,3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","['Kygo', 'Rita Ora']",pop,dance pop
89,6XqvFyJGdUD5IWee02ARKU,Polaroid,['Jonas Blue'],pop,dance pop
90,575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,"['Shawn Mendes', 'Zedd']",pop,dance pop
91,70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),['ILLENIUM'],pop,dance pop
92,7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,"['Loud Luxury', 'Bryce Vine']",pop,dance pop
93,6nDKrPlXdpomGBgAlO7UdP,SOS,['Avicii'],pop,dance pop
94,2b1BwUGGyKq0CoJd8G1B6M,Harder,['Jax Jones'],pop,dance pop
95,09IStsImFySgyp0pIQdqAc,The Middle,"['Zedd', 'Maren Morris', 'Grey']",pop,dance pop
96,1lGVyEkGHUz7Pg78QGaS4a,Wanted,"['NOTD', 'Daya']",pop,dance pop
97,6ksMjdec8b6C45TUawkAdu,Crash Into Me,"['Steve Aoki', 'Darren Criss']",pop,dance pop
98,1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),['Gryffin'],pop,dance pop
99,6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),"['ILLENIUM', 'Jon Bellion']",pop,dance pop
100,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,['Mabel'],pop,dance pop
101,1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,['A R I Z O N A'],pop,dance pop
102,1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,"['Steve Aoki', 'Backstreet Boys']",pop,dance pop
103,7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,['Starley'],pop,dance pop
104,2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),"['Alesso', 'TINI']",pop,dance pop
105,4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,['ayokay'],pop,dance pop
106,1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,['ARTY'],pop,dance pop
107,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,"['Maggie Lindemann', 'CADE', 'Cheat Codes']",pop,dance pop
108,1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),"['Martin Garrix', 'Bonn']",pop,dance pop
109,0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),"['Gryffin', 'ILLENIUM', 'Daya']",pop,dance pop
110,5l8AUgBTWuOECwVgYtaUyE,Endless Summer,['Cashae'],pop,dance pop
111,35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],"['Galantis', 'Dolly Parton', 'Mr. Probz']",pop,dance pop
112,3Kuu5vASpXK8oRsxOvau6P,Think About You,"['Kygo', 'Valerie Broussard']",pop,dance pop
113,7KW3XQV5Or5CF57MYVj5h4,Party For One,['Carly Rae Jepsen'],pop,dance pop
114,3M9Apu4OZfylLTFKvgEtKa,Ritual,"['Tiësto', 'Jonas Blue', 'Rita Ora']",pop,dance pop
115,5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),"['Silk City', 'Dua Lipa']",pop,dance pop
116,6QcrReLyoun4xrPVsZ5OJE,Lie,"['Shallou', 'Riah']",pop,dance pop
117,1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),['benny blanco'],pop,dance pop
118,5cE201rNvIkryS8N1dJ5nR,Now That I Found You,['Carly Rae Jepsen'],pop,dance pop
119,4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,['R3HAB'],pop,dance pop
120,48GmVZwvkoVC5StfMLfNJE,Need U,['DVBBS'],pop,dance pop
121,01iyINEYgPQ7ThMZuHUsqS,First Love,"['Lost Kings', 'Sabrina Carpenter']",pop,dance pop
122,6BwClo5W3VvTzJv8bvZXDD,Something Real,"['Armin van Buuren', 'AVIAN GRAYS', 'Jordan Shaw']",pop,dance pop
123,108r6pnZHStBIktpyyps9w,TIME,['Alesso'],pop,dance pop
124,24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),['Rudimental'],pop,dance pop
125,4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),"['Martin Garrix', 'Bonn']",pop,dance pop
126,0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),"['FANNYPACK', 'STVW']",pop,dance pop
127,6y1UtRcHQU07aUs3oxZ8Yn,Sorry,['Joel Corry'],pop,dance pop
128,54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),"['Herve Pagez', 'Diplo', 'Charli XCX']",pop,dance pop
129,6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),"['Lindsey Stirling', 'Elle King']",pop,dance pop
